LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,vfs,mpki,epi,ipc,cpi,p1_lat,p2_lat
6,7,10,9,12,160,13,6,0.767705,6.5147,1088.00,4.660426,0.065147,1,2
6,13,10,9,12,100,16,10,0.515096,6.2723,2448.00,2.618159,0.056451,2,2
6,7,10,12,12,100,14,10,0.778589,6.2514,1275.00,4.755521,0.062514,1,2
6,7,11,9,10,100,13,10,0.777460,6.3367,1070.00,4.723535,0.063367,1,2
6,7,11,12,10,100,13,10,0.777772,6.2818,1146.00,4.728637,0.062818,1,2
6,7,13,14,13,100,13,10,0.737799,6.0723,2127.00,4.553939,0.066796,1,3
6,7,11,9,9,100,14,10,0.617376,14.7571,1287.00,4.673755,0.147571,1,2
6,7,10,11,12,250,13,10,0.768795,6.7641,1137.00,4.742518,0.067641,1,2
6,8,10,9,13,20,13,10,0.729528,8.7092,1320.00,4.788846,0.087092,1,2
6,12,10,12,13,100,14,10,0.762627,6.2928,2122.00,4.739043,0.062928,1,2
6,7,11,9,12,40,13,10,0.761738,7.1277,1120.00,4.746346,0.071277,1,2
6,7,11,14,13,100,13,10,0.777641,6.0888,1439.00,4.735886,0.060888,1,2
6,7,10,11,14,100,13,10,0.732749,8.1347,1252.00,4.673995,0.081347,1,2
6,7,12,9,8,100,13,10,0.617013,14.6065,1297.00,4.635236,0.146065,1,2
6,7,11,9,12,100,11,10,0.777469,6.1970,1046.00,4.685245,0.061970,1,2
6,7,10,11,13,100,14,10,0.777941,6.2758,1253.00,4.749933,0.062758,1,2
6,7,11,9,13,100,10,10,0.775673,6.1825,1072.00,4.666989,0.061825,1,2
6,7,11,9,12,100,14,10,0.774887,6.2623,1422.00,4.744313,0.062623,1,2
6,9,10,12,13,100,13,10,0.772387,6.2234,1548.00,4.730010,0.062234,1,2
6,9,10,11,13,100,16,10,0.521009,6.2439,1929.00,2.619383,0.056195,2,2
6,7,10,13,12,100,13,10,0.778272,6.3107,1094.00,4.731126,0.063107,1,2
6,7,10,9,12,100,15,10,0.775694,6.3566,1320.00,4.757293,0.063566,1,2
6,7,12,9,12,100,13,4,0.727790,6.2474,1426.00,4.371828,0.068721,1,3
6,7,9,9,12,100,13,10,0.778908,6.4678,866.00,4.730668,0.064678,1,2
6,14,10,11,13,100,13,10,0.760956,6.2579,2213.00,4.727054,0.062579,1,2
6,7,10,11,12,20,13,10,0.735892,8.5671,1114.00,4.788492,0.085671,1,2
6,7,11,11,12,100,13,7,0.775979,6.2549,1156.00,4.703909,0.062549,1,2
6,7,11,11,12,100,13,10,0.782541,6.0953,1156.00,4.738628,0.060953,1,2
6,7,9,9,15,100,13,10,0.778728,6.4055,982.00,4.737072,0.064055,1,2
6,7,14,9,12,100,13,10,0.732577,6.1895,2210.00,4.539309,0.068085,1,3
6,7,10,11,12,160,13,10,0.775778,6.4264,1125.00,4.737296,0.064264,1,2
6,9,10,11,12,100,13,10,0.772412,6.3017,1475.00,4.735920,0.063017,1,2
6,6,11,11,12,150,13,12,0.780293,6.2025,1231.00,4.754247,0.062025,1,2
6,7,11,11,12,100,13,12,0.782236,6.1412,1157.00,4.746672,0.061412,1,2
6,7,11,11,12,100,12,10,0.777177,6.1516,1280.00,4.716091,0.061516,1,2
6,7,11,11,12,150,13,10,0.778032,6.2988,1162.00,4.738864,0.062988,1,2
6,7,11,11,13,100,13,10,0.780042,6.1651,1184.00,4.733080,0.061651,1,2
6,7,11,11,12,150,13,12,0.780619,6.2474,1163.00,4.755758,0.062474,1,2
6,7,11,11,12,200,13,12,0.778663,6.3297,1167.00,4.754630,0.063297,1,2
6,8,11,11,12,150,13,12,0.782524,6.0683,1309.00,4.761314,0.060683,1,2
6,4,9,9,10,60,10,6,0.754757,7.5616,427.00,4.619515,0.075616,1,2
6,5,10,10,11,80,11,8,0.771641,6.7581,735.00,4.690923,0.067581,1,2
6,7,11,12,12,100,13,10,0.780755,6.1491,1201.00,4.740488,0.061491,1,2
6,6,11,11,12,100,12,10,0.779368,6.2379,1001.00,4.707366,0.062379,1,2
6,7,11,11,12,80,13,10,0.776917,6.3372,1155.00,4.734276,0.063372,1,2
6,7,11,11,12,130,13,10,0.778318,6.2589,1159.00,4.731740,0.062589,1,2
6,7,11,11,12,100,11,10,0.778445,6.1402,1080.00,4.689058,0.061402,1,2
6,9,11,12,12,150,14,12,0.744108,6.1042,1877.00,4.589453,0.067147,1,3
6,4,11,10,10,60,15,16,0.524685,7.0544,895.00,2.611131,0.063489,2,2
6,6,12,14,9,300,12,5,0.632685,14.0015,1391.00,4.759416,0.140015,1,2
6,7,11,13,8,200,14,7,0.631842,13.9641,1340.00,4.723980,0.139641,1,2
6,8,14,12,15,400,15,5,0.483329,6.0908,2978.00,2.473384,0.060908,2,3
6,10,10,13,9,80,11,6,0.627715,14.1297,1430.00,4.722734,0.141297,1,2
6,11,11,12,7,100,14,4,0.626524,13.3302,1967.00,4.639140,0.133302,1,2
6,12,14,10,7,40,10,6,0.562885,13.7950,3931.00,4.441371,0.151745,1,3
6,14,12,9,13,400,10,6,0.707104,6.1811,2961.00,4.375950,0.067992,1,3
6,7,12,14,10,130,16,12,0.487236,7.1202,2162.00,2.516554,0.071202,2,3
6,8,11,13,7,150,14,6,0.629275,13.6903,1531.00,4.666185,0.136903,1,2
6,8,11,12,11,160,14,6,0.768076,6.1097,1553.00,4.655524,0.061097,1,2
6,8,12,13,10,200,14,6,0.711242,7.0409,1724.00,4.428481,0.077450,1,3
6,8,13,13,12,200,14,12,0.738304,6.0743,2274.00,4.584070,0.066817,1,3
6,10,10,14,12,60,14,6,0.752457,6.7441,1622.00,4.644362,0.067441,1,2
6,10,11,13,11,150,14,12,0.772640,6.2055,1715.00,4.759111,0.062055,1,2
6,10,12,13,12,200,12,6,0.723590,6.1751,2100.00,4.421264,0.067926,1,3
6,10,14,13,12,200,14,16,0.719511,6.1132,3370.00,4.552977,0.067245,1,3
6,6,11,10,11,80,14,6,0.764641,6.5342,1198.00,4.652143,0.065342,1,2
6,8,12,12,11,80,14,6,0.725809,6.4349,1705.00,4.441479,0.070784,1,3
6,8,11,12,11,100,11,6,0.770227,6.1486,1240.00,4.631146,0.061486,1,2
6,8,11,12,11,160,10,12,0.772571,6.0943,1222.00,4.640621,0.060943,1,2
6,8,11,12,11,160,14,12,0.777634,6.1197,1553.00,4.764720,0.061197,1,2
6,10,11,12,11,160,14,6,0.760760,6.2663,1745.00,4.646030,0.062663,1,2
6,10,11,12,13,150,14,6,0.729685,6.1187,1873.00,4.436280,0.067306,1,3
6,10,11,10,13,150,14,6,0.729915,6.1441,1840.00,4.439315,0.067586,1,3
6,4,11,12,14,160,10,6,0.762545,6.8893,763.00,4.625281,0.068893,1,2
6,4,11,13,11,150,14,12,0.768028,7.0953,917.00,4.769776,0.070953,1,2
6,8,11,12,11,160,11,6,0.771190,6.1217,1246.00,4.636458,0.061217,1,2
6,8,11,12,9,160,11,12,0.613432,14.8095,1204.00,4.602559,0.148095,1,2
6,8,11,12,11,250,10,12,0.765010,6.4045,1232.00,4.632269,0.064045,1,2
6,8,14,12,11,150,14,12,0.727039,6.3531,2576.00,4.577550,0.069884,1,3
6,10,11,12,11,150,14,12,0.775556,6.0698,1746.00,4.764120,0.060698,1,2
6,10,11,11,11,150,14,12,0.774297,6.1322,1721.00,4.760817,0.061322,1,2
6,8,11,12,11,200,11,12,0.771738,6.2693,1250.00,4.678128,0.062693,1,2
6,10,11,12,11,150,10,6,0.761146,6.2728,1482.00,4.605234,0.062728,1,2
6,8,11,12,11,150,14,12,0.778630,6.0763,1551.00,4.764845,0.060763,1,2
6,8,14,13,11,150,14,12,0.725465,6.3885,2611.00,4.574344,0.070274,1,3
6,10,11,14,11,160,14,4,0.719292,6.2135,1973.00,4.364975,0.068348,1,3
6,10,11,13,14,150,14,12,0.771348,6.1561,1867.00,4.759574,0.061561,1,2
6,10,11,14,11,150,14,12,0.743773,6.0444,1974.00,4.587133,0.066488,1,3
6,10,11,12,11,160,14,12,0.772377,6.1601,1746.00,4.750485,0.061601,1,2
6,10,11,11,9,160,16,12,0.443818,13.7207,2071.00,2.535303,0.123486,2,2
6,8,11,12,11,80,14,4,0.760174,6.2698,1540.00,4.604303,0.062698,1,2
6,8,11,10,9,150,14,12,0.611685,14.8599,1438.00,4.646612,0.148599,1,2
6,8,14,12,11,160,14,12,0.726796,6.3631,2577.00,4.577498,0.069994,1,3
6,9,11,12,11,160,10,12,0.770336,6.1192,1313.00,4.638936,0.061192,1,2
6,10,11,11,11,150,14,16,0.772731,6.1312,1721.00,4.742809,0.061312,1,2
6,10,11,11,11,150,14,10,0.771472,6.1975,1720.00,4.744762,0.061975,1,2
6,8,11,12,11,80,14,12,0.770237,6.4289,1541.00,4.754912,0.064289,1,2
6,8,10,12,11,150,13,12,0.778802,6.3431,1152.00,4.756582,0.063431,1,2
6,8,11,11,11,150,14,12,0.779945,6.0424,1516.00,4.764788,0.060424,1,2
6,8,11,12,11,160,11,12,0.778060,6.0279,1246.00,4.689595,0.060279,1,2
6,3,9,9,9,40,10,6,0.625286,15.2244,379.00,4.640739,0.152244,1,2
6,4,10,10,10,60,11,8,0.767130,7.0818,575.00,4.682127,0.070818,1,2
6,6,10,10,11,80,11,8,0.773479,6.6160,772.00,4.685530,0.066160,1,2
6,10,12,13,12,200,14,12,0.493418,6.1751,2500.00,2.516715,0.061751,2,3
6,12,13,14,13,300,15,12,0.485059,5.9721,3773.00,2.519485,0.059721,2,3
6,5,10,10,11,80,12,8,0.773029,6.7561,795.00,4.718888,0.067561,1,2
6,7,10,11,12,100,12,10,0.774921,6.3551,1117.00,4.708682,0.063551,1,2
6,7,11,11,12,100,13,16,0.778065,6.2613,1159.00,4.729496,0.062613,1,2
6,8,11,11,12,100,13,10,0.776076,6.2464,1304.00,4.731405,0.062464,1,2
6,8,11,11,12,100,14,10,0.773703,6.2150,1541.00,4.741508,0.062150,1,2
6,8,12,11,12,150,13,12,0.745214,6.1307,1651.00,4.569028,0.067437,1,3
6,9,11,11,12,150,13,12,0.777847,6.1177,1443.00,4.746088,0.061177,1,2
6,10,11,11,12,200,13,12,0.775806,6.0569,1657.00,4.747549,0.060569,1,2
6,8,11,11,12,150,13,16,0.782004,5.9835,1309.00,4.734544,0.059835,1,2
